"Date","Time","Open","High","Low","Close","Vol","OI"
02/10/2010,16:59,84.195,84.808,83.609,84.656,0,0
02/11/2010,16:59,84.681,85.641,84.510,85.449,0,0
02/12/2010,16:59,85.462,86.020,84.767,85.646,0,0
02/15/2010,16:59,85.640,85.966,85.526,85.753,0,0
02/16/2010,16:59,85.742,86.873,85.631,86.375,0,0
02/17/2010,16:59,86.328,87.355,86.184,87.188,0,0
02/18/2010,16:59,87.200,87.855,86.497,87.649,0,0
02/19/2010,16:59,87.628,88.309,87.150,88.044,0,0
02/22/2010,16:59,88.040,88.442,87.178,87.365,0,0
02/23/2010,16:59,87.348,87.633,85.029,85.383,0,0
02/24/2010,16:59,85.337,85.710,84.945,85.530,0,0
02/25/2010,16:59,85.540,85.801,83.157,83.947,0,0
02/26/2010,16:59,83.970,84.615,83.710,84.521,0,0
03/01/2010,16:59,84.225,85.732,84.225,85.557,0,0
03/02/2010,16:59,85.537,86.506,85.419,85.765,0,0
03/03/2010,16:59,85.760,86.223,85.457,85.702,0,0
03/04/2010,16:59,85.719,86.654,85.279,86.276,0,0
03/05/2010,16:59,86.258,88.207,86.235,87.687,0,0
03/08/2010,16:59,87.920,88.277,87.645,87.885,0,0
03/09/2010,16:59,87.877,87.932,86.932,87.647,0,0
03/10/2010,16:59,87.618,88.716,87.397,88.288,0,0
03/11/2010,16:59,88.295,88.524,87.542,88.365,0,0
03/12/2010,16:59,88.370,89.585,88.195,88.826,0,0
03/15/2010,16:59,89.208,89.286,88.330,88.787,0,0
03/16/2010,16:59,88.799,89.310,88.321,89.035,0,0
03/17/2010,16:59,89.044,89.660,88.806,89.349,0,0
03/18/2010,16:59,89.371,89.530,88.716,89.109,0,0
03/19/2010,16:59,89.123,90.087,88.731,88.994,0,0
03/22/2010,16:59,89.063,89.245,87.732,88.447,0,0
03/23/2010,16:59,88.425,89.064,88.250,88.953,0,0
03/24/2010,16:59,88.995,90.160,88.850,89.895,0,0
03/25/2010,16:59,89.842,91.135,89.667,90.529,0,0
03/26/2010,16:59,90.494,90.741,89.710,90.080,0,0
03/29/2010,16:59,90.092,91.026,89.922,90.518,0,0
03/30/2010,16:59,90.490,91.478,90.156,90.911,0,0
03/31/2010,16:59,90.953,92.118,90.918,92.023,0,0
04/01/2010,16:59,92.052,93.251,91.949,92.996,0,0
04/02/2010,16:59,93.037,93.815,92.669,93.560,0,0
04/05/2010,16:59,93.830,94.223,93.564,94.125,0,0
04/06/2010,16:59,94.217,94.217,93.432,93.618,0,0
04/07/2010,16:59,93.587,94.289,92.617,92.738,0,0
04/08/2010,16:59,92.737,93.206,91.998,93.145,0,0
04/09/2010,16:59,93.155,93.808,92.564,92.913,0,0
04/12/2010,16:59,92.685,93.192,92.490,93.000,0,0
04/13/2010,16:59,93.005,93.130,92.120,93.080,0,0
04/14/2010,16:59,93.070,93.975,92.980,93.340,0,0
04/15/2010,16:59,93.326,93.773,92.637,92.830,0,0
04/16/2010,16:59,92.845,92.959,90.413,90.982,0,0
04/19/2010,16:59,90.480,91.120,89.950,91.075,0,0
04/20/2010,16:59,91.090,93.586,90.997,93.322,0,0
04/21/2010,16:59,93.356,93.969,92.929,93.190,0,0
04/22/2010,16:59,93.178,93.641,92.439,93.430,0,0
04/23/2010,16:59,93.420,94.120,93.056,94.040,0,0
04/26/2010,16:59,93.983,94.485,93.795,93.854,0,0
04/27/2010,16:59,93.860,93.968,91.155,91.612,0,0
04/28/2010,16:59,91.630,93.598,91.415,93.120,0,0
04/29/2010,16:59,93.120,93.975,92.786,93.524,0,0
04/30/2010,16:59,93.480,94.167,92.170,92.174,0,0
05/03/2010,16:59,92.411,93.655,92.183,93.501,0,0
05/04/2010,16:59,93.505,93.912,91.987,92.270,0,0
05/05/2010,16:59,92.345,92.654,90.643,91.005,0,0
05/06/2010,16:59,90.977,91.315,83.070,86.030,0,0
05/07/2010,16:59,86.240,89.925,85.395,87.701,0,0
05/10/2010,16:59,89.156,91.498,88.468,91.160,0,0
05/11/2010,16:59,91.130,91.672,89.740,90.654,0,0
05/12/2010,16:59,90.628,91.802,90.253,91.445,0,0
05/13/2010,16:59,91.446,92.540,90.755,90.950,0,0
05/14/2010,16:59,90.868,91.079,88.473,89.260,0,0
05/17/2010,16:59,89.110,89.705,87.957,89.640,0,0
05/18/2010,16:59,89.670,90.540,88.495,88.725,0,0
05/19/2010,16:59,88.715,88.784,86.345,87.833,0,0
05/20/2010,16:59,87.731,88.205,83.002,83.775,0,0
05/21/2010,16:59,83.870,85.553,83.036,84.916,0,0
05/24/2010,16:59,85.113,85.842,84.186,84.950,0,0
05/25/2010,16:59,84.900,84.930,82.390,84.501,0,0
05/26/2010,16:59,84.495,85.495,83.796,83.925,0,0
05/27/2010,16:59,83.906,86.870,83.780,86.830,0,0
05/28/2010,16:59,86.820,87.381,86.015,86.297,0,0
05/31/2010,16:59,86.436,87.774,86.162,87.335,0,0
06/01/2010,16:59,87.409,87.664,85.821,86.139,0,0
06/02/2010,16:59,86.110,88.865,86.085,88.708,0,0
06/03/2010,16:59,88.691,89.680,88.165,89.090,0,0
06/04/2010,16:59,89.108,89.505,86.167,86.445,0,0
06/07/2010,16:59,86.313,87.511,85.171,86.055,0,0
06/08/2010,16:59,86.100,87.385,85.785,87.281,0,0
06/09/2010,16:59,87.360,88.352,86.775,87.380,0,0
06/10/2010,16:59,87.315,88.748,87.200,88.667,0,0
06/11/2010,16:59,88.631,89.025,87.985,88.748,0,0
06/14/2010,16:59,88.923,89.790,88.476,88.549,0,0
06/15/2010,16:59,88.470,89.317,87.966,89.170,0,0
06/16/2010,16:59,89.125,89.511,88.225,89.245,0,0
06/17/2010,16:59,89.195,89.306,87.646,88.479,0,0
06/18/2010,16:59,88.526,88.885,87.780,88.727,0,0
06/21/2010,16:59,88.583,90.033,88.481,88.917,0,0
06/22/2010,16:59,88.865,89.160,87.755,87.935,0,0
06/23/2010,16:59,87.970,88.141,86.042,86.363,0,0
06/24/2010,16:59,86.353,86.670,85.258,85.895,0,0
06/25/2010,16:59,85.895,86.481,85.662,86.170,0,0
06/28/2010,16:59,86.287,86.540,85.890,86.255,0,0
06/29/2010,16:59,86.230,86.365,83.615,83.880,0,0
06/30/2010,16:59,83.935,84.745,82.972,83.110,0,0
07/01/2010,16:59,83.023,83.285,81.590,82.645,0,0
07/02/2010,16:59,82.630,83.515,81.965,82.565,0,0
07/05/2010,16:59,82.571,83.144,82.180,82.506,0,0
07/06/2010,16:59,82.435,83.495,81.859,82.975,0,0
07/07/2010,16:59,82.980,83.795,82.062,83.794,0,0
07/08/2010,16:59,83.770,85.359,83.575,84.768,0,0
07/09/2010,16:59,84.753,85.946,84.560,85.680,0,0
07/12/2010,16:59,85.931,86.421,85.087,85.416,0,0
07/13/2010,16:59,85.423,86.125,85.174,86.125,0,0
07/14/2010,16:59,86.025,86.442,85.070,85.585,0,0
07/15/2010,16:59,85.639,85.795,83.530,84.134,0,0
07/16/2010,16:59,84.135,84.257,81.702,81.785,0,0
07/19/2010,16:59,81.955,82.970,81.739,82.152,0,0
07/20/2010,16:59,82.160,83.925,81.971,83.837,0,0
07/21/2010,16:59,83.800,84.210,82.790,82.944,0,0
07/22/2010,16:59,82.940,84.080,82.250,83.780,0,0
07/23/2010,16:59,83.805,84.430,83.410,84.410,0,0
07/26/2010,16:59,84.232,84.762,83.770,84.145,0,0
07/27/2010,16:59,84.150,85.400,84.084,84.860,0,0
07/28/2010,16:59,84.870,85.485,83.970,84.170,0,0
07/29/2010,16:59,84.195,84.690,83.350,83.688,0,0
07/30/2010,16:59,83.745,84.225,83.045,83.983,0,0
08/02/2010,16:59,83.893,84.940,83.823,84.540,0,0
08/03/2010,16:59,84.530,84.695,83.492,83.811,0,0
08/04/2010,16:59,83.805,84.845,83.170,84.709,0,0
08/05/2010,16:59,84.715,85.215,84.235,84.370,0,0
08/06/2010,16:59,84.385,84.815,82.702,83.178,0,0
08/09/2010,16:59,83.103,83.665,82.933,83.647,0,0
08/10/2010,16:59,83.648,83.740,82.435,82.835,0,0
08/11/2010,16:59,82.845,82.890,81.110,81.505,0,0
08/12/2010,16:59,81.500,82.465,81.045,82.370,0,0
08/13/2010,16:59,82.360,83.205,82.065,82.705,0,0
08/16/2010,16:59,82.709,82.850,81.463,81.760,0,0
08/17/2010,16:59,81.780,83.040,81.553,82.845,0,0
08/18/2010,16:59,82.843,83.175,82.536,82.980,0,0
08/19/2010,16:59,82.939,83.498,81.780,82.055,0,0
08/20/2010,16:59,82.061,82.284,81.143,81.676,0,0
08/23/2010,16:59,81.515,81.680,80.865,80.920,0,0
08/24/2010,16:59,80.938,80.986,78.395,79.010,0,0
08/25/2010,16:59,79.040,80.025,78.829,79.787,0,0
08/26/2010,16:59,79.806,80.367,79.690,79.805,0,0
08/27/2010,16:59,79.798,81.141,79.275,81.068,0,0
08/30/2010,16:59,81.240,81.965,79.720,79.830,0,0
08/31/2010,16:59,79.845,79.865,78.549,78.993,0,0
09/01/2010,16:59,79.005,80.715,78.910,80.406,0,0
09/02/2010,16:59,80.406,80.500,79.730,80.055,0,0
09/03/2010,16:59,80.052,81.660,79.783,81.120,0,0
09/06/2010,16:59,80.875,81.455,80.854,81.310,0,0
09/07/2010,16:59,81.327,81.345,79.872,79.980,0,0
09/08/2010,16:59,79.985,81.103,79.485,80.819,0,0
09/09/2010,16:59,80.820,81.310,80.450,80.994,0,0
09/10/2010,16:59,81.010,81.711,80.985,81.145,0,0
09/13/2010,16:59,81.470,81.757,81.135,81.475,0,0
